"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-11","8.28",,," 1141","0.00",,,,,"22","2",,,"   40","   40",,,,"21.0","31.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-12","2.24",,," 2319","0.00",,,,,"25","-3",,,"  300","  300",,,,"15.0","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-13","13.65",,," 0347","0.00",,,,,"20","-1",,,"  290","  320",,,,"25.9","38.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-14","4.92",,," 2333","0.00",,,,,"22","-14",,,"  350","  360",,,,"17.0","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-15","18.57",,," 1423","0.00",,,,,"19","-4",,,"  310","  300",,,,"33.1","46.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-16","14.76",,," 0016","0.00",,,,,"17","-5",,,"  300","  290",,,,"32.0","38.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-17","3.58",,," 1305","0.00",,,,,"22","5",,,"  350","  340",,,,"10.1","12.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-18","2.46",,," 1548","0.00",,,,,"29","5",,,"   90","  110",,,,"8.9","11.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-19","10.29",,," 1658","0.00",,,,,"24","5",,,"  280","  280",,,,"23.0","32.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-20","13.20",,," 1420","0.00",,,,,"17","2",,,"  300","  290",,,,"28.0","34.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-21","8.28",,," 1517","0.00",,,,,"32","-12",,,"  200","  210",,,,"23.0","28.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-22","2.46",,," 0024","0.00",,,,,"39","20",,,"  230","  240",,,,"8.9","12.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-23","12.75",,," 1328","0.00",,,,,"29","1",,,"  290","  290",,,,"25.1","32.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-24","5.37",,," 1749","0.00",,,,,"18","-15",,,"  170","  180",,,,"19.9","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-25","9.17",,," 1610","0.00",,,,,"33","3",,,"  270","  290",,,,"23.9","31.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-26","5.82",,," 1335","0.00",,,,,"21","15",,,"   40","   10",,,,"14.1","17.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-27","4.70",,," 0841","0.00",,,,,"26","2",,,"  330","  330",,,,"16.1","19.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-28","4.47",,," 1602","0.00",,,,,"29","-6",,,"  320","  250",,,,"12.1","15.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-01","4.47",,," 1345","0.02",,,,,"28","-4",,,"  220","  220",,,,"17.0","21.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-02","12.53",,," 1829","0.00",,,,,"34","22",,,"  300","  300",,,,"28.0","35.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-03","8.05",,," 0027","0.25",,,,,"30","5",,,"  310","  300",,,,"23.9","30.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-04","8.28",,," 1251","0.03",,,,,"42","29",,,"  260","  260",,,,"19.9","25.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-05","11.41",,," 0826","0.00",,,,,"37","16",,,"  300","  300",,,,"25.9","33.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-06","7.16",,," 0143","0.00",,,,,"26","1",,,"  330","  330",,,,"16.1","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-07","7.16",,," 1203","0.00",,,,,"37","11",,,"  250","  240",,,,"18.1","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-08","6.26",,," 1549","0.00",,,,,"42","15",,,"  290","  290",,,,"25.1","33.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-09","7.16",,," 1307","0.00",,,,,"45","18",,,"  290","  290",,,,"25.9","34.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-10","5.14",,," 1518","0.04",,,,,"50","19",,,"  200","  210",,,,"16.1","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-11","9.62",,," 1405","0.00",,,,,"55","35",,,"  290","  310",,,,"25.9","34.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-12","14.76",,," 0507","0.00",,,,,"40","23",,,"  300","  300",,,,"31.1","46.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-13","6.04",,," 0014","0.00",,,,,"39","15",,,"  200","  320",,,,"15.0","21.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-14","5.82",,," 1922","0.64",,,,,"36","29",,,"  320","  310",,,,"12.1","16.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-15","11.41",,," 1727","0.07",,,,,"39","27",,,"  330","  320",,,,"25.1","33.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-16","6.71",,," 0253","0.00",,,,,"46","24",,,"  310","  340",,,,"18.1","25.1",,,,,,,,,
